Period,Open,High,Low,Close
2024-08-01,12086.490000,12148.280000,11808.470000,11887.543092
2024-07-31,12015.630000,12115.780000,11990.050000,12052.088526
2024-07-30,11956.090000,11978.840000,11788.110000,11863.801448
2024-07-29,11951.280000,11975.600000,11881.210000,11922.885102
2024-07-26,11857.570000,11976.790000,11851.090000,11913.041352
2024-07-25,11845.890000,11983.110000,11764.240000,11781.569579
2024-07-24,12014.110000,12018.920000,11826.760000,11842.356250
2024-07-23,12143.670000,12187.100000,12112.310000,12122.829945
2024-07-22,12098.380000,12154.600000,12064.760000,12141.746479
2024-07-19,12095.310000,12126.120000,11994.570000,12011.606889
2024-07-18,12236.810000,12248.660000,12049.770000,12097.245751
2024-07-17,12240.050000,12266.850000,12184.950000,12192.492190
2024-07-16,12314.150000,12369.960000,12303.070000,12364.555149
2024-07-15,12301.200000,12363.800000,12250.480000,12286.051252
2024-07-12,12196.550000,12337.830000,12196.240000,12250.188931
2024-07-11,12293.510000,12309.050000,12165.490000,12182.973906
2024-07-10,12197.180000,12293.430000,12186.660000,12290.212483
2024-07-09,12180.400000,12194.240000,12159.370000,12164.567008
2024-07-08,12155.060000,12177.380000,12132.730000,12155.274119
2024-07-05,12078.680000,12149.090000,12064.980000,12142.535390
2024-07-03,12010.330000,12079.740000,12010.330000,12074.826962
2024-07-02,11910.550000,12014.570000,11903.110000,12013.401057
2024-07-01,11930.630000,11948.180000,11877.390000,11939.380184
2024-06-28,11968.190000,12044.480000,11888.540000,11907.150195
2024-06-27,11934.260000,11971.460000,11921.090000,11954.504690
2024-06-26,11906.050000,11954.940000,11886.990000,11943.528781
2024-06-25,11906.080000,11932.290000,11875.870000,11924.751817
2024-06-24,11903.570000,11971.190000,11877.780000,11878.039203
2024-06-21,11918.470000,11943.620000,11887.390000,11913.781850
